Month,suicideAttempts,forcedMEd,seriousInjury,OCSpray
2/1/2021,0,0,0,0
3/1/2021,0,0,1,0
4/1/2021,0,0,1,23
5/1/2021,2,0,3,0
6/1/2021,3,0,2,23
7/1/2021,2,0,0,29
8/1/2021,0,0,3,13
9/1/2021,0,0,0,0
10/1/2021,2,0,3,14
11/1/2021,3,0,1,12
12/1/2021,1,0,1,17
1/1/2022,2,0,3,15
2/1/2022,3,0,2,15
3/1/2022,3,0,4,18
4/1/2022,0,0,7,40
5/1/2022,5,0,10,48
6/1/2022,5,0,0,43
7/1/2022,2,0,3,23
8/1/2022,0,0,0,4
9/1/2022,2,0,9,22
10/1/2022,0,0,7,40
11/1/2022,3,0,3,46
12/1/2022,3,0,12,30
1/1/2023,4,0,7,51
2/1/2023,1,0,9,44
3/1/2023,3,0,6,18
4/1/2023,5,0,5,56
5/1/2023,2,0,7,43
6/1/2023,3,0,2,47
7/1/2023,2,0,5,30
8/1/2023,2,0,7,45
9/1/2023,4,0,12,27
10/1/2023,1,0,6,42
11/1/2023,1,0,2,40
12/1/2023,2,0,7,22
1/1/2024,4,0,6,30
2/1/2024,0,0,3,16
3/1/2024,0,0,0,22
4/1/2024,1,0,4,33
5/1/2024,1,0,9,36
6/1/2024,2,0,8,24
7/1/2024,1,1,7,38
8/1/2024,,,,
9/1/2024,46,14,47,38
10/1/2024,47,28,65,35
11/1/2024,68,35,59,53
12/1/2024,63,50,63,58
1/1/2025,22,45,20,52
2/1/2025,,,,
3/1/2025,3,7,3,64
4/1/2025,4,5,5,57
5/1/2025,17,10,16,49
6/1/2025,5,7,9,71
7/1/2025,0,4,18,61
8/1/2025,5,1,14,55
9/1/2025,5,0,13,47
10/1/2025,7,6,10,71
11/1/2025,1,2,19,64
12/1/2025,,,,
