countyName,capacity,jailCityName,fips_population,usda_rucc,usda_classification,peer_group,has_jail,incidents,incidents_per_10k,deaths,deaths_counted_by_state,deaths_never_counted
Adams,194,Quincy,64109,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",nonmetro-urban,yes,129,20.1,1,1,0
Alexander,,,4594,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,no,0,0,0,0,0
Bond,22,Greenville,16576,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,4,2.4,0,0,0
Boone,128,Belvidere,53313,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,46,8.6,0,0,0
Brown,,,6307,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,no,0,0,0,0,0
Bureau,115,Princeton,32486,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,4,1.2,0,0,0
Calhoun,,,4224,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,0,0,0,0,0
Carroll,25,Mount Carroll,15444,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,12,7.8,0,0,0
Cass,,,12713,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,no,0,0,0,0,0
Champaign,113,Urbana,212374,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,117,5.5,3,2,1
Christian,58,Taylorville,33247,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,21,6.3,1,0,1
Clark,50,Marshall,15076,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,2,1.3,0,0,0
Clay,17,Louisville,12821,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,5,3.9,0,0,0
Clinton,53,Carlyle,37087,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,156,42.1,0,0,0
Coles,171,Charleston,46423,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",nonmetro-urban,yes,225,48.5,1,1,0
Cook,9075,Chicago,5182617,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,13192,25.5,85,77,8
