death_date,year,age,county,counted
9/11/2019,2019,55,Adams,1
10/13/22,2022,31,Champaign,1
5/22/24,2024,51,Champaign,1
9/24/23,2023,33,Champaign,0
4/15/21,2021,51,Christian,0
7/25/25,2025,66,Coles,1
2/5/19,2019,54,Cook,1
3/2/19,2019,51,Cook,1
5/13/19,2019,27,Cook,1
5/20/19,2019,53,Cook,1
6/10/19,2019,25,Cook,1
7/3/19,2019,55,Cook,1
10/6/19,2019,30,Cook,1
10/20/19,2019,31,Cook,1
11/13/19,2019,26,Cook,1
12/10/19,2019,56,Cook,1
2/1/20,2020,19,Cook,1
4/5/20,2020,59,Cook,1
4/9/20,2020,51,Cook,1
4/12/20,2020,42,Cook,1
4/19/20,2020,42,Cook,1
4/19/20,2020,64,Cook,1
4/20/20,2020,53,Cook,1
5/4/20,2020,53,Cook,1
5/21/20,2020,31,Cook,1
9/16/20,2020,47,Cook,1
9/29/20,2020,22,Cook,1
10/29/20,2020,35,Cook,1
11/16/20,2020,27,Cook,1
11/16/20,2020,85,Cook,1
12/23/20,2020,64,Cook,1
1/17/21,2021,84,Cook,1
3/3/21,2021,23,Cook,1
3/7/21,2021,56,Cook,1
3/12/21,2021,52,Cook,1
7/4/20,2020,51,Cook,0
10/31/21,2021,22,Cook,1
11/24/2021,2021,44,Cook,1
12/4/21,2021,28,Cook,1
1/27/22,2022,73,Cook,1
6/14/22,2022,24,Cook,1
7/22/22,2022,59,Cook,1
8/2/22,2022,27,Cook,1
8/13/22,2022,30,Cook,1
11/10/22,2022,52,Cook,1
11/17/22,2022,26,Cook,1
1/27/23,2023,34,Cook,1
1/29/23,2023,57,Cook,1
1/29/23,2023,79,Cook,1
2/9/2023,2023,23,Cook,1
2/11/23,2023,28,Cook,1
3/2/23,2023,28,Cook,1
3/3/23,2023,35,Cook,1
4/1/23,2023,25,Cook,1
4/6/23,2023,35,Cook,1
5/2/23,2023,28,Cook,1
5/15/23,2023,81,Cook,1
5/19/23,2023,33,Cook,1
5/22/23,2023,49,Cook,1
7/25/23,2023,23,Cook,1
8/8/23,2023,29,Cook,1
9/28/23,2023,26,Cook,1
12/11/23,2023,37,Cook,1
12/25/23,2023,33,Cook,1
4/3/24,2024,59,Cook,1
6/21/24,2024,41,Cook,1
7/12/24,2024,32,Cook,1
7/27/24,2024,28,Cook,1
8/4/24,2024,27,Cook,1
9/7/24,2024,52,Cook,1
9/29/24,2024,32,Cook,1
11/30/24,2024,22,Cook,1
12/9/24,2024,80,Cook,1
12/16/24,2024,79,Cook,1
12/24/2024,2024,70,Cook,1
1/23/25,2025,22,Cook,1
2/3/25,2025,36,Cook,1
4/6/25,2025,36,Cook,1
6/15/25,2025,55,Cook,1
11/20/25,2025,24,Cook,1
12/6/25,2025,41,Cook,1
12/7/25,2025,35,Cook,1
12/17/25,2025,20,Cook,1
12/20/25,2025,33,Cook,1
11/17/20,2020,41,Cook,0
2/21/2021,2021,86,Cook,0
4/8/21,2021,26,Cook,0
4/20/21,2021,37,Cook,0
4/21/21,2021,57,Cook,0
5/11/2021,2021,63,Cook,0
6/13/21,2021,45,Cook,0
11/5/19,2019,32,Cumberland,1
12/22/25,2025,26,Cumberland,0
6/22/23,2023,42,DeKalb,1
10/15/19,2019,31,DuPage,0
8/25/20,2020,66,DuPage,0
6/24/20,2020,60,DuPage,1
7/19/22,2022,47,DuPage,1
06/12/2023,2023,50,DuPage,1
06/16/2023,2023,42,DuPage,1
9/12/23,2023,29,DuPage,1
9/12/23,2023,38,DuPage,1
8/9/21,2021,44,DuPage,0
8/5/25,2025,37,DuPage,1
5/27/19,2019,32,Fayette,0
6/14/2019,2019,24,Fulton,0
3/29/25,2025,47,Hancock,1
10/12/19,2019,61,Henry,1
8/26/20,2020,24,Iroquois,1
8/27/20,2020,47,Iroquois,1
5/12/22,2022,32,Iroquois,1
7/28/20,2020,41,Jackson,1
2/2/21,2021,34,Jackson,0
9/25/20,2020,50,Jefferson,0
1/15/23,2023,31,Jefferson,0
12/20/23,2023,27,Jefferson,1
5/24/19,2019,58,Kane,0
1/11/22,2022,67,Kane,1
12/4/19,2019,30,Kankakee,0
1/15/20,2020,31,Kankakee,1
2/3/22,2022,37,Kankakee,1
9/9/2022,2022,32,Kankakee,1
1/2/24,2024,50,Kankakee,1
