county,date,year,Verified Occurances Clean,suicide_flag,suicide_text,suicideAttempt_flag,suicideAttempt_text,homicide_flag,homicideAttempt_flag,escape_flag,escapeAttempt_flag,fire_flag,seriousInj_flag,batt_flag,riot_flag,sexOffense_flag,assaultStaff_flag,assaultDet_flag,fight_flag,restraintsStrict_flag,OCSprayStrict_flag,other_flag,other_text,other_pepperball,other_forcedMed,other_hospital,other_taser,other_prea,sexOffense_OR_prea,other_chair_rough,other_restraint_OR_chair
Lake County,1/11/21,2021,Other (specify): Sick Person,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sick Person,,,,,,,,
St. Clair County,1/2/21,2021,Restraints Used; Other (specify): Chair,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Chair,,,,,,,chair,1
Lake County,1/8/20,2020,Other (specify): Dis. Conduct; OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dis. Conduct,,,,,,,,
Lake County,1/26/21,2021,OC Spray Used; Other (specify): Dis. Conduct,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dis. Conduct,,,,,,,,
Lake County,1/14/21,2021,Other (specify): Resisted,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Resisted,,,,,,,,
Madison County,1/5/21,2021,OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
Madison County,1/23/21,2021,Battery,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
Tazewell County,1/18/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Lake County,1/16/21,2021,Other (specify): Sick Person,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sick Person,,,,,,,,
Madison County,1/5/21,2021,OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
Macon County,1/23/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Sangamon County,1/1/21,2021,Fighting among Detainees; Other (specify): hospital,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,hospital,,,hosp,,,,,
Jefferson County,1/6/21,2021,Restraints Used; Other (specify): 207,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,207,,,,,,,,1
Peoria County,1/24/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
McHenry County,1/17/21,2021,Other (specify): Inmate Fight,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inmate Fight,,,,,,,,
Will County,1/28/21,2021,Suicide Attempt (method) tied sheet around neck; Other (specify):,0,,1,tied sheet around neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
Winnebago County Jail,1/25/21,2021,Suicide attempt (method): By suffocation; Other (specify): WRAP,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WRAP,,,,,,,,
Will County,1/9/21,2021,Other (specify): Medical Emergency,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medical Emergency,,,,,,,,
Vermilion County,1/31/21,2021,Taser used; OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
Coles County,1/2/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Lake County,1/11/21,2021,Other (specify): Disorderly C,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disorderly C,,,,,,,,
Lake County,1/26/21,2021,Other (specify): Self-Harm,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Self-Harm,,,,,,,,
Madison County,1/5/21,2021,Other (specify): Use Force,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Use Force,,,,,,,,
Kane County,1/26/21,2021,Other (specify): Suicide Watc,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Suicide Watc,,,,,,,,
Lake County,1/24/21,2021,Other (specify): Dis. Conduct,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dis. Conduct,,,,,,,,
McLean County,1/21/21,2021,Serious Injury,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
St. Clair County,1/28/21,2021,Restraints Used; Other (specify): Chair,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Chair,,,,,,,chair,1
Sangamon County,1/7/21,2021,Other (specify): Contraband; Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Contraband,,,,,,,,1
Tazewell County,1/25/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Fayette County,1/25/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
St. Clair County,1/16/21,2021,Restraints Used; Other (specify): Chair,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Chair,,,,,,,chair,1
Lake County,1/10/21,2021,Other (specify): Suicidal Thr,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Suicidal Thr,,,,,,,,
Kane County,1/16/21,2021,Restraints Used; Fighting among Detainees,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,1
Rock Island County,1/2/21,2021,Other (specify): Shield,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Shield,,,,,,,,
Lake County,1/25/21,2021,Other (specify): Allergic,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Allergic,,,,,,,,
Lake County,1/19/21,2021,OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
McHenry County,1/2/21,2021,Other (specify): medical,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,medical,,,,,,,,
Whiteside County,1/5/21,2021,Other (specify): Hunger strike,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hunger strike,,,,,,,,
Clinton County,1/21/21,2021,Other (specify): state he wanted to be restrained for his own good,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,state he wanted to be restrained for his own good,,,,,,,,
Winnebago County Jail,1/10/21,2021,Fighting among Detainees; OC Spray Used; Battery,0,,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,
St. Clair County,1/16/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
St. Clair County,1/7/21,2021,Fighting among Detainees,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,
Macon County,1/25/21,2021,Other (specify): TASER,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TASER,,,,ECD,,,,
Stephenson County,1/3/21,2021,Other (specify): ERC,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ERC,,,,,,,chair,1
Lake County,1/14/21,2021,Suicide Attempt (method) Threats,0,,1,Threats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sangamon County,1/16/21,2021,Other (specify): Taser,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taser,,,,ECD,,,,
Macoupin County,1/3/21,2021,Other (specify): crim damage; Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,crim damage,,,,,,,,1
DuPage County,1/30/21,2021,Other (specify): Hospital,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hospital,,,hosp,,,,,
Lake County,1/12/21,2021,Battery,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
St. Clair County,1/13/21,2021,Restraints Used; Other (specify): Cuffs,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Cuffs,,,,,,,,1
Lake County,1/25/21,2021,Fighting among Detainees; Battery,0,,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,
St. Clair County,1/29/21,2021,Suicide Attempt (method) String tied around neck,0,,1,String tied around neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sangamon County,1/11/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Madison County,1/6/21,2021,Fighting among Detainees; Restraints Used; OC Spray Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,1
Will County,1/24/21,2021,Assault on Staff,0,,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
Sangamon County,1/27/21,2021,Fighting among Detainees; Other (specify): taser displa,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,taser displa,,,,ECD,,,,
Madison County,1/2/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Sangamon County,1/28/21,2021,Restraints Used,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,1
Sangamon County,1/25/21,2021,Other (specify): Taser,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taser,,,,ECD,,,,
St. Clair County,1/19/21,2021,Restraints Used; Other (specify): Chair,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Chair,,,,,,,chair,1
