year month,Suburban and downstate rolling average,Cook County rolling average
1/1/2019,,
2/1/2019,,
3/1/2019,,
4/1/2019,,
5/1/2019,,
6/1/2019,,
7/1/2019,,
8/1/2019,,
9/1/2019,,
10/1/2019,,
11/1/2019,,
12/1/2019,166.5,
1/1/2020,169.0833333,
2/1/2020,166.25,
3/1/2020,166.0833333,
4/1/2020,162.3333333,
5/1/2020,160.3333333,
6/1/2020,158.75,
7/1/2020,162.0833333,
8/1/2020,161.75,
9/1/2020,163.3333333,
10/1/2020,164.6666667,
11/1/2020,165,
12/1/2020,166.5,
1/1/2021,167.6666667,
2/1/2021,170.6666667,
3/1/2021,175.5833333,
4/1/2021,179.5,
5/1/2021,183,
6/1/2021,184.6666667,
7/1/2021,184.9166667,
8/1/2021,185.4166667,
9/1/2021,181.5833333,
10/1/2021,180.25,
11/1/2021,182,
12/1/2021,181.0833333,
1/1/2022,180.3333333,
2/1/2022,180.0833333,
3/1/2022,179.5,
4/1/2022,177.4166667,
5/1/2022,175.0833333,
6/1/2022,171.5,
7/1/2022,168.5,
8/1/2022,170.1666667,
9/1/2022,174.0833333,
10/1/2022,172.3333333,212.25
11/1/2022,170.75,233.25
12/1/2022,170.1666667,248.9166667
1/1/2023,173.1666667,269.75
2/1/2023,176.1666667,287.9166667
3/1/2023,177.25,286.9166667
4/1/2023,181.75,288.8333333
5/1/2023,185.5,288.75
6/1/2023,191.9166667,285.6666667
7/1/2023,196.5833333,294.9166667
8/1/2023,199.8333333,323.6666667
9/1/2023,200.8333333,327.5
10/1/2023,200.5833333,322
11/1/2023,199.5,315.75
12/1/2023,199.5,310.1666667
1/1/2024,195.5,301.6666667
2/1/2024,192.3333333,292.3333333
3/1/2024,189.6666667,297.3333333
4/1/2024,189.6666667,288.6666667
5/1/2024,194.1666667,287.5833333
6/1/2024,192.4166667,288.3333333
7/1/2024,194.75,278.25
8/1/2024,197,
9/1/2024,203.25,269.75
10/1/2024,209.0833333,274.75
11/1/2024,212.25,277.5833333
12/1/2024,217,286.1666667
1/1/2025,221.6666667,292.9166667
2/1/2025,223.5833333,
3/1/2025,225.8333333,284.0833333
4/1/2025,226.25,281.6666667
5/1/2025,224.75,278
6/1/2025,226.1666667,272.8333333
7/1/2025,221.25,261.6666667
8/1/2025,219.4166667,254.75
9/1/2025,214.8333333,250.4166667
10/1/2025,210,242.0833333
11/1/2025,213.9166667,230.1666667
12/1/2025,213.5,
