year month,Suburban and downstate number,Suburban and downstate rolling average,Cook dates,Cook County number,Cook County rolling average
1/1/2019,151,,,,
2/1/2019,165,,,,
3/1/2019,157,,,,
4/1/2019,158,,,,
5/1/2019,177,,,,
6/1/2019,186,,,,
7/1/2019,164,,,,
8/1/2019,179,,,,
9/1/2019,178,,,,
10/1/2019,171,,,,
11/1/2019,145,,,,
12/1/2019,167,166.5,,,
1/1/2020,182,169.0833333,,,
2/1/2020,131,166.25,,,
3/1/2020,155,166.0833333,,,
4/1/2020,113,162.3333333,,,
5/1/2020,153,160.3333333,,,
6/1/2020,167,158.75,,,
7/1/2020,204,162.0833333,,,
8/1/2020,175,161.75,,,
9/1/2020,197,163.3333333,,,
10/1/2020,187,164.6666667,,,
11/1/2020,149,165,,,
12/1/2020,185,166.5,,,
1/1/2021,196,167.6666667,,,
2/1/2021,167,170.6666667,2/1/2021,1,
3/1/2021,214,175.5833333,3/1/2021,36,
4/1/2021,160,179.5,4/1/2021,93,
5/1/2021,195,183,5/1/2021,231,
6/1/2021,187,184.6666667,6/1/2021,229,
7/1/2021,207,184.9166667,7/1/2021,187,
8/1/2021,181,185.4166667,8/1/2021,143,
9/1/2021,151,181.5833333,9/1/2021,1,
10/1/2021,171,180.25,10/1/2021,111,
11/1/2021,170,182,11/1/2021,108,
12/1/2021,174,181.0833333,12/1/2021,130,
1/1/2022,187,180.3333333,1/1/2022,132,
2/1/2022,164,180.0833333,2/1/2022,115,
3/1/2022,207,179.5,3/1/2022,200,
4/1/2022,135,177.4166667,4/1/2022,352,
5/1/2022,167,175.0833333,5/1/2022,330,
6/1/2022,144,171.5,6/1/2022,316,
7/1/2022,171,168.5,7/1/2022,205,
8/1/2022,201,170.1666667,8/1/2022,48,
9/1/2022,198,174.0833333,9/1/2022,235,
10/1/2022,150,172.3333333,10/1/2022,376,212.25
11/1/2022,151,170.75,11/1/2022,360,233.25
12/1/2022,167,170.1666667,12/1/2022,318,248.9166667
1/1/2023,223,173.1666667,1/1/2023,382,269.75
2/1/2023,200,176.1666667,2/1/2023,333,287.9166667
3/1/2023,220,177.25,3/1/2023,188,286.9166667
4/1/2023,189,181.75,4/1/2023,375,288.8333333
5/1/2023,212,185.5,5/1/2023,329,288.75
6/1/2023,221,191.9166667,6/1/2023,279,285.6666667
7/1/2023,227,196.5833333,7/1/2023,316,294.9166667
8/1/2023,240,199.8333333,8/1/2023,393,323.6666667
9/1/2023,210,200.8333333,9/1/2023,281,327.5
10/1/2023,147,200.5833333,10/1/2023,310,322
11/1/2023,138,199.5,11/1/2023,285,315.75
12/1/2023,167,199.5,12/1/2023,251,310.1666667
1/1/2024,175,195.5,1/1/2024,280,301.6666667
2/1/2024,162,192.3333333,2/1/2024,221,292.3333333
3/1/2024,188,189.6666667,3/1/2024,248,297.3333333
4/1/2024,189,189.6666667,4/1/2024,271,288.6666667
5/1/2024,266,194.1666667,5/1/2024,316,287.5833333
6/1/2024,200,192.4166667,6/1/2024,288,288.3333333
7/1/2024,255,194.75,7/1/2024,195,278.25
8/1/2024,267,197,,,
9/1/2024,285,203.25,9/1/2024,291,269.75
10/1/2024,217,209.0833333,10/1/2024,341,274.75
11/1/2024,176,212.25,11/1/2024,344,277.5833333
12/1/2024,224,217,12/1/2024,388,286.1666667
1/1/2025,231,221.6666667,1/1/2025,332,292.9166667
2/1/2025,185,223.5833333,,,
3/1/2025,215,225.8333333,3/1/2025,174,284.0833333
4/1/2025,194,226.25,4/1/2025,192,281.6666667
5/1/2025,248,224.75,5/1/2025,204,278
6/1/2025,217,226.1666667,6/1/2025,209,272.8333333
7/1/2025,196,221.25,7/1/2025,182,261.6666667
8/1/2025,245,219.4166667,8/1/2025,205,254.75
9/1/2025,230,214.8333333,9/1/2025,143,250.4166667
10/1/2025,159,210,10/1/2025,191,242.0833333
11/1/2025,223,213.9166667,11/1/2025,198,230.1666667
12/1/2025,219,213.5,,,
