year,county,inspector,status,noncompliant
2017,Adams County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Bond County,Dianne Fritscle,NONCOMPLIANT,1
2017,Boone County,Michael Leathers,COMPLIANT,0
2017,Bureau County,Michael Leathers,NONCOMPLIANT,1
2017,Calhoun County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Carroll County,Michael Leathers,COMPLIANT,0
2017,Champaign County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Christian County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Clark County,Dianne Fritscle,NONCOMPLIANT,1
2017,Clay County,Dianne Fritscle,NONCOMPLIANT,1
2017,Clinton County,Dianne Fritscle,NONCOMPLIANT,1
2017,Coles County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Cook County,NOT FOUND,ERR,0
2017,Crawford County,Dianne Fritscle,NONCOMPLIANT,1
2017,Cumberland County,Dianne Fritscle,NONCOMPLIANT,1
2017,Dekalb County,Michael Leathers,COMPLIANT,0
2017,Dewitt County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Douglas County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Dupage County,Errica Weatherspoon,COMPLIANT,0
2017,Edgar County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Effingham County,Dianne Fritscle,COMPLIANT,0
2017,Fayette County,Dianne Fritscle,COMPLIANT,0
2017,Ford County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Franklin County,Dianne Fritscle,NONCOMPLIANT,1
2017,Fulton County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Greene County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Grundy County,Michael Leathers,COMPLIANT,0
2017,Hancock County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Hardin County,Dianne Fritscle,NONCOMPLIANT,1
2017,Henderson County,Michael Leathers,NONCOMPLIANT,1
2017,Henry County,Michael Leathers,COMPLIANT,0
2017,Iroquois County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Jackson County,Dianne Fritscle,COMPLIANT,0
2017,Jasper County,Dianne Fritscle,NONCOMPLIANT,1
2017,Jefferson County,Dianne Fritscle,COMPLIANT,0
2017,Jerome Combs And Kankakee County,Errica Weatherspoon,COMPLIANT,0
2017,Jersey County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Jo Daviess County,Michael Leathers,NONCOMPLIANT,1
2017,Kane County,Michael Leathers,NONCOMPLIANT,1
2017,Kendall County,Michael Leathers,COMPLIANT,0
2017,Knox County,Michael Leathers,COMPLIANT,0
2017,Lake County,Errica Weatherspoon,NONCOMPLIANT,1
2017,Lasalle County,Michael Leathers,COMPLIANT,0
2017,Lawrence County,Dianne Fritscle,NONCOMPLIANT,1
2017,Lee County,Michael Leathers,NONCOMPLIANT,1
2017,Livingston County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Logan County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Macon County,Stephanie Rawlings,COMPLIANT,0
2017,Macoupin County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Madison County,Dianne Fritscle,COMPLIANT,0
2017,Marion County,Dianne Fritscle,COMPLIANT,0
2017,Marshall County,Michael Leathers,COMPLIANT,0
2017,Mason County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Massac County,Dianne Fritscle,NONCOMPLIANT,1
2017,Mcdonough County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Mchenry County,Michael Leathers,COMPLIANT,0
2017,Mclean County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Menard County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Mercer County,Michael Leathers,COMPLIANT,0
2017,Monroe County,Dianne Fritscle,COMPLIANT,0
2017,Montgomery County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Morgan County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Moultrie County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Ogle County,Michael Leathers,NONCOMPLIANT,1
2017,Peoria County,Stephanie Rawlings,COMPLIANT,0
2017,Perry County,Dianne Fritscle,NONCOMPLIANT,1
2017,Piatt County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Pike County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Pulaski County,Dianne Fritscle,COMPLIANT,0
2017,Putnam County,Michael Leathers,NONCOMPLIANT,1
2017,Randolph County,Dianne Fritscle,NONCOMPLIANT,1
2017,Richland County,Dianne Fritscle,COMPLIANT,0
2017,Rock Island County,Michael Leathers,COMPLIANT,0
2017,Saline County,Dianne Fritscle,NONCOMPLIANT,1
2017,Sangamon County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Schuyler County,Stephanie Rawlings,COMPLIANT,0
2017,Shelby County,Stephanie Rawlings,COMPLIANT,0
2017,St Clair County,Dianne Fritscle,COMPLIANT,0
2017,Stark County,Michael Leathers,NONCOMPLIANT,1
2017,Stephenson County,Michael Leathers,NONCOMPLIANT,1
2017,Tazewell County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Vermilion County,Stephanie Rawlings,NONCOMPLIANT,1
2017,Wabash County,Dianne Fritscle,NONCOMPLIANT,1
2017,Warren County,Michael Leathers,COMPLIANT,0
2017,Washington County,Dianne Fritscle,COMPLIANT,0
2017,Wayne County,Dianne Fritscle,COMPLIANT,0
2017,White County,Dianne Fritscle,NONCOMPLIANT,1
2017,Whiteside County,Michael Leathers,COMPLIANT,0
2017,Will County,Errica Weatherspoon,COMPLIANT,0
2017,Williamson County,Dianne Fritscle,COMPLIANT,0
2017,Winnebago County,Michael Leathers,NONCOMPLIANT,1
2017,Woodford County,Stephanie Rawlings,COMPLIANT,0
2018,Adams County,Melissa Pelker,NONCOMPLIANT,1
2018,Bond County,Dianne Fritscle,NONCOMPLIANT,1
2018,Boone County,Michael Leathers,COMPLIANT,0
2018,Bureau County,Michael Leathers,NONCOMPLIANT,1
2018,Calhoun County,Melissa Pelker,NONCOMPLIANT,1
2018,Carroll County,Michael Leathers,COMPLIANT,0
2018,Champaign County,Melissa Pelker,COMPLIANT,0
2018,Christian County,Melissa Pelker,COMPLIANT,0
2018,Clark County,Dianne Fritscle,NONCOMPLIANT,1
2018,Clay County,Dianne Fritscle,NONCOMPLIANT,1
