NAMELSAD,cat
Adams County,Has a jail but no record of owning a pepperball gun
Alexander County,Has no jail
Bond County,Has a jail but no record of owning a pepperball gun
Boone County,Has a pepperball gun but no record of use
Brown County,Has no jail
Bureau County,Has a jail but no record of owning a pepperball gun
Calhoun County,Has no jail
Carroll County,Has a jail but no record of owning a pepperball gun
Cass County,Has no jail
Champaign County,Has a jail but no record of owning a pepperball gun
Christian County,Has a jail but no record of owning a pepperball gun
Clark County,Has a jail but no record of owning a pepperball gun
Clay County,Has a jail but no record of owning a pepperball gun
Clinton County,Has a jail but no record of owning a pepperball gun
Coles County,Has a pepperball gun but no record of use
Cook County,Has a jail but no record of owning a pepperball gun
Crawford County,Has a jail but no record of owning a pepperball gun
Cumberland County,Has a jail but no record of owning a pepperball gun
De Witt County,Has a jail but no record of owning a pepperball gun
DeKalb County,Has a jail but no record of owning a pepperball gun
Douglas County,Has a jail but no record of owning a pepperball gun
DuPage County,Has a jail but no record of owning a pepperball gun
Edgar County,Has a jail but no record of owning a pepperball gun
Edwards County,Has no jail
Effingham County,Has a jail but no record of owning a pepperball gun
Fayette County,Has a jail but no record of owning a pepperball gun
Ford County,Has a jail but no record of owning a pepperball gun
Franklin County,Has a jail but no record of owning a pepperball gun
Fulton County,Has a jail but no record of owning a pepperball gun
Gallatin County,Has no jail
Greene County,Has a jail but no record of owning a pepperball gun
Grundy County,Has a jail but no record of owning a pepperball gun
Hamilton County,Has no jail
Hancock County,Has a jail but no record of owning a pepperball gun
Hardin County,Has a jail but no record of owning a pepperball gun
Henderson County,Has a jail but no record of owning a pepperball gun
Henry County,Has a pepperball gun but no record of use
Iroquois County,Has a jail but no record of owning a pepperball gun
Jackson County,Has a jail but no record of owning a pepperball gun
Jasper County,Has a jail but no record of owning a pepperball gun
Jefferson County,Has a pepperball gun and has a record of using it
Jersey County,Has a jail but no record of owning a pepperball gun
Jo Daviess County,Has a jail but no record of owning a pepperball gun
Johnson County,Has no jail
Kane County,Has a pepperball gun and has a record of using it
Kankakee County,Has a jail but no record of owning a pepperball gun
Kendall County,Has a pepperball gun but no record of use
Knox County,Has a jail but no record of owning a pepperball gun
Lake County,Has a pepperball gun but no record of use
LaSalle County,Has a pepperball gun and has a record of using it
Lawrence County,Has a jail but no record of owning a pepperball gun
Lee County,Has a jail but no record of owning a pepperball gun
Livingston County,Has a jail but no record of owning a pepperball gun
Logan County,Has a jail but no record of owning a pepperball gun
Macon County,Has a pepperball gun and has a record of using it
Macoupin County,Has a jail but no record of owning a pepperball gun
Madison County,Has a jail but no record of owning a pepperball gun
Marion County,Has a jail but no record of owning a pepperball gun
Marshall County,Has a jail but no record of owning a pepperball gun
Mason County,Has a jail but no record of owning a pepperball gun
Massac County,Has a jail but no record of owning a pepperball gun
McDonough County,Has a pepperball gun but no record of use
McHenry County,Has a pepperball gun and has a record of using it
McLean County,Has a pepperball gun and has a record of using it
Menard County,Has a jail but no record of owning a pepperball gun
Mercer County,Has a jail but no record of owning a pepperball gun
Monroe County,Has a jail but no record of owning a pepperball gun
Montgomery County,Has a jail but no record of owning a pepperball gun
Morgan County,Has a jail but no record of owning a pepperball gun
Moultrie County,Has a jail but no record of owning a pepperball gun
Ogle County,Has a jail but no record of owning a pepperball gun
Peoria County,Has a jail but no record of owning a pepperball gun
Perry County,Has a jail but no record of owning a pepperball gun
Piatt County,Has a jail but no record of owning a pepperball gun
Pike County,Has a jail but no record of owning a pepperball gun
Pope County,Has no jail
Pulaski County,Has a pepperball gun and has a record of using it
Putnam County,Has a jail but no record of owning a pepperball gun
Randolph County,Has a jail but no record of owning a pepperball gun
Richland County,Has a jail but no record of owning a pepperball gun
Rock Island County,Has a pepperball gun and has a record of using it
Saline County,Has a jail but no record of owning a pepperball gun
Sangamon County,Has a pepperball gun and has a record of using it
Schuyler County,Has a jail but no record of owning a pepperball gun
Scott County,Has no jail
Shelby County,Has a jail but no record of owning a pepperball gun
St. Clair County,Has a jail but no record of owning a pepperball gun
Stark County,Has no jail
Stephenson County,Has a jail but no record of owning a pepperball gun
Tazewell County,Has a jail but no record of owning a pepperball gun
Union County,Has no jail
Vermilion County,Has a pepperball gun but no record of use
Wabash County,Has a jail but no record of owning a pepperball gun
Warren County,Has a jail but no record of owning a pepperball gun
Washington County,Has a jail but no record of owning a pepperball gun
Wayne County,Has a jail but no record of owning a pepperball gun
White County,Has a jail but no record of owning a pepperball gun
Whiteside County,Has a pepperball gun but no record of use
Will County,Has a pepperball gun and has a record of using it
Williamson County,Has a pepperball gun but no record of use
Winnebago County,Has a pepperball gun and has a record of using it
Woodford County,Has a jail but no record of owning a pepperball gun
