NAMELSAD,cat
Adams County,Does not have a pepperball launcher
Alexander County,Has no jail
Bond County,Does not have a pepperball launcher
Boone County,Has a pepperball launcher but no record of use
Brown County,Has no jail
Bureau County,Does not have a pepperball launcher
Calhoun County,Has no jail
Carroll County,Does not have a pepperball launcher
Cass County,Has no jail
Champaign County,Does not have a pepperball launcher
Christian County,Does not have a pepperball launcher
Clark County,Does not have a pepperball launcher
Clay County,Does not have a pepperball launcher
Clinton County,Does not have a pepperball launcher
Coles County,Has a pepperball launcher but no record of use
Cook County,Does not have a pepperball launcher
Crawford County,Does not have a pepperball launcher
Cumberland County,Does not have a pepperball launcher
De Witt County,Does not have a pepperball launcher
DeKalb County,Does not have a pepperball launcher
Douglas County,Does not have a pepperball launcher
DuPage County,Does not have a pepperball launcher
Edgar County,Does not have a pepperball launcher
Edwards County,Has no jail
Effingham County,Does not have a pepperball launcher
Fayette County,Does not have a pepperball launcher
Ford County,Does not have a pepperball launcher
Franklin County,Does not have a pepperball launcher
Fulton County,Does not have a pepperball launcher
Gallatin County,Has no jail
Greene County,Does not have a pepperball launcher
Grundy County,Does not have a pepperball launcher
Hamilton County,Has no jail
Hancock County,Does not have a pepperball launcher
Hardin County,Does not have a pepperball launcher
Henderson County,Does not have a pepperball launcher
Henry County,Has a pepperball launcher but no record of use
Iroquois County,Does not have a pepperball launcher
Jackson County,Does not have a pepperball launcher
Jasper County,Does not have a pepperball launcher
Jefferson County,Has a pepperball launcher and has a record of using it
Jersey County,Does not have a pepperball launcher
Jo Daviess County,Does not have a pepperball launcher
Johnson County,Has no jail
Kane County,Has a pepperball launcher and has a record of using it
Kankakee County,Does not have a pepperball launcher
Kendall County,Has a pepperball launcher but no record of use
Knox County,Does not have a pepperball launcher
Lake County,Has a pepperball launcher but no record of use
LaSalle County,Has a pepperball launcher and has a record of using it
Lawrence County,Does not have a pepperball launcher
Lee County,Does not have a pepperball launcher
Livingston County,Does not have a pepperball launcher
Logan County,Does not have a pepperball launcher
Macon County,Has a pepperball launcher and has a record of using it
Macoupin County,Does not have a pepperball launcher
Madison County,Does not have a pepperball launcher
Marion County,Does not have a pepperball launcher
Marshall County,Does not have a pepperball launcher
Mason County,Does not have a pepperball launcher
Massac County,Does not have a pepperball launcher
McDonough County,Has a pepperball launcher but no record of use
McHenry County,Has a pepperball launcher and has a record of using it
McLean County,Has a pepperball launcher and has a record of using it
Menard County,Does not have a pepperball launcher
Mercer County,Does not have a pepperball launcher
Monroe County,Does not have a pepperball launcher
Montgomery County,Does not have a pepperball launcher
Morgan County,Does not have a pepperball launcher
Moultrie County,Does not have a pepperball launcher
Ogle County,Does not have a pepperball launcher
Peoria County,Does not have a pepperball launcher
Perry County,Does not have a pepperball launcher
Piatt County,Does not have a pepperball launcher
Pike County,Does not have a pepperball launcher
Pope County,Has no jail
Pulaski County,Has a pepperball launcher and has a record of using it
Putnam County,Does not have a pepperball launcher
Randolph County,Does not have a pepperball launcher
Richland County,Does not have a pepperball launcher
Rock Island County,Has a pepperball launcher and has a record of using it
Saline County,Does not have a pepperball launcher
Sangamon County,Has a pepperball launcher and has a record of using it
Schuyler County,Does not have a pepperball launcher
Scott County,Has no jail
Shelby County,Does not have a pepperball launcher
St. Clair County,Does not have a pepperball launcher
Stark County,Has no jail
Stephenson County,Does not have a pepperball launcher
Tazewell County,Does not have a pepperball launcher
Union County,Has no jail
Vermilion County,Has a pepperball launcher but no record of use
Wabash County,Does not have a pepperball launcher
Warren County,Does not have a pepperball launcher
Washington County,Does not have a pepperball launcher
Wayne County,Does not have a pepperball launcher
White County,Does not have a pepperball launcher
Whiteside County,Has a pepperball launcher but no record of use
Will County,Has a pepperball launcher and has a record of using it
Williamson County,Has a pepperball launcher but no record of use
Winnebago County,Has a pepperball launcher and has a record of using it
Woodford County,Does not have a pepperball launcher
