County,sentence1,hasJail,hasPolicy,hasLauncher,link,sentence2
Adams County,no record of owning a pepperball launcher,1,1,0,,
Alexander County,has no jail,0,1,0,,
Bond County,no record of owning a pepperball launcher,1,1,0,,
Boone County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28195244-boone-county-use-pepper-ball-launcher-policy/#document/p1,Click here to read the policy governing its use
Brown County,has no jail,0,1,0,,
Bureau County,no record of owning a pepperball launcher,1,1,0,,
Calhoun County,has no jail,0,1,0,,
Carroll County,no record of owning a pepperball launcher,1,1,0,,
Cass County,has no jail,0,1,0,,
Champaign County,no record of owning a pepperball launcher,1,1,0,,
Christian County,no record of owning a pepperball launcher,1,1,0,,
Clark County,no record of owning a pepperball launcher,1,1,0,,
Clay County,no record of owning a pepperball launcher,1,1,0,,
Clinton County,no record of owning a pepperball launcher,1,1,0,,
Coles County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28587793-coles-county-policies-on-control-devices-and-weapons/#document/p1,Click here to read the policy governing its use
Cook County,no record of owning a pepperball launcher,1,1,0,,
Crawford County,no record of owning a pepperball launcher,1,1,0,,
Cumberland County,no record of owning a pepperball launcher,1,1,0,,
DeKalb County,no record of owning a pepperball launcher,1,1,0,,
DeWitt County,no record of owning a pepperball launcher,1,1,0,,
Douglas County,no record of owning a pepperball launcher,1,1,0,,
DuPage County,no record of owning a pepperball launcher,1,1,0,,
Edgar County,no record of owning a pepperball launcher,1,1,0,,
Edwards County,has no jail,0,1,0,,
Effingham County,no record of owning a pepperball launcher,1,1,0,,
Fayette County,no record of owning a pepperball launcher,1,1,0,,
Ford County,no record of owning a pepperball launcher,1,1,0,,
Franklin County,no record of owning a pepperball launcher,1,1,0,,
Fulton County,no record of owning a pepperball launcher,1,1,0,,
Gallatin County,has no jail,0,1,0,,
Greene County,no record of owning a pepperball launcher,1,1,0,,
Grundy County,no record of owning a pepperball launcher,1,1,0,,
Hamilton County,has no jail,0,1,0,,
Hancock County,no record of owning a pepperball launcher,1,1,0,,
Hardin County,no record of owning a pepperball launcher,1,1,0,,
Henderson County,no record of owning a pepperball launcher,1,1,0,,
Henry County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28525052-henry-county-jail-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Iroquois County,no record of owning a pepperball launcher,1,1,0,,
Jackson County,no record of owning a pepperball launcher,1,1,0,,
Jasper County,no record of owning a pepperball launcher,1,1,0,,
Jefferson County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503214-jefferson-county-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Jersey County,no record of owning a pepperball launcher,1,1,0,,
Jo Daviess County,no record of owning a pepperball launcher,1,1,0,,
Johnson County,has no jail,0,1,0,,
Kane County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503220-kane-county-use-of-force-policy/,Click here to read the policy governing its use
Kankakee County,no record of owning a pepperball launcher,1,1,0,,
Kendall County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28621606-kendall-county-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Knox County,no record of owning a pepperball launcher,1,1,0,,
Lake County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28503223-lake-county-pepper-ball-systems-policy/,Click here to read the policy governing its use
LaSalle County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503250-lasalle-county-jail-pepper-ball-policy/#document/p1,Click here to read the policy governing its use
Lawrence County,no record of owning a pepperball launcher,1,1,0,,
Lee County,no record of owning a pepperball launcher,1,1,0,,
Livingston County,no record of owning a pepperball launcher,1,1,0,,
Logan County,no record of owning a pepperball launcher,1,1,0,,
Macon County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503269-macon-county-pepperball-policy/#document/p1,Click here to read the policy governing its use
Macoupin County,no record of owning a pepperball launcher,1,1,0,,
Madison County,no record of owning a pepperball launcher,1,1,0,,
Marion County,no record of owning a pepperball launcher,1,1,0,,
Marshall County,no record of owning a pepperball launcher,1,1,0,,
Mason County,no record of owning a pepperball launcher,1,1,0,,
Massac County,no record of owning a pepperball launcher,1,1,0,,
McDonough County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28525054-mcdonough-county-jail-use-of-force-policy/,Click here to read the policy governing its use
McHenry County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503299-mchenry-county-policies-on-use-of-force-and-weapons-authorization/#document/p1,Click here to read the policy governing its use
McLean County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503324-mclean-county-pepper-projectile-systems-policy/#document/p1,Click here to read the policy governing its use
Menard County,no record of owning a pepperball launcher,1,1,0,,
Mercer County,no record of owning a pepperball launcher,1,1,0,,
Monroe County,no record of owning a pepperball launcher,1,1,0,,
Montgomery County,no record of owning a pepperball launcher,1,1,0,,
Morgan County,no record of owning a pepperball launcher,1,1,0,,
Moultrie County,no record of owning a pepperball launcher,1,1,0,,
Ogle County,no record of owning a pepperball launcher,1,1,0,,
Peoria County,no record of owning a pepperball launcher,1,1,0,,
Perry County,no record of owning a pepperball launcher,1,1,0,,
Piatt County,no record of owning a pepperball launcher,1,1,0,,
Pike County,no record of owning a pepperball launcher,1,1,0,,
Pope County,has no jail,0,1,0,,
Pulaski County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503346-pulaski-county-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Putnam County,no record of owning a pepperball launcher,1,1,0,,
Randolph County,no record of owning a pepperball launcher,1,1,0,,
Richland County,no record of owning a pepperball launcher,1,1,0,,
Rock Island County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503376-rock-island-county-control-devices-and-techniques-policy/#document/p1,Click here to read the policy governing its use
Saline County,no record of owning a pepperball launcher,1,1,0,,
Sangamon County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503399-sangamon-county-policy-on-use-of-less-than-deadly-force/#document/p1,Click here to read the policy governing its use
Schuyler County,no record of owning a pepperball launcher,1,1,0,,
Scott County,has no jail,0,1,0,,
Shelby County,no record of owning a pepperball launcher,1,1,0,,
St. Clair County,no record of owning a pepperball launcher,1,1,0,,
Stark County,has no jail,0,1,0,,
Stephenson County,no record of owning a pepperball launcher,1,1,0,,
Tazewell County,no record of owning a pepperball launcher,1,1,0,,
Union County,has no jail,0,1,0,,
Vermilion County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28537698-vermilion-county-jail-use-of-force-policies/#document/p1,Click here to read the policy governing its use
Wabash County,no record of owning a pepperball launcher,1,1,0,,
Warren County,no record of owning a pepperball launcher,1,1,0,,
Washington County,no record of owning a pepperball launcher,1,1,0,,
Wayne County,no record of owning a pepperball launcher,1,1,0,,
White County,no record of owning a pepperball launcher,1,1,0,,
Whiteside County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28503425-whiteside-county-control-devices-and-techniques-policy/#document/p1,Click here to read the policy governing its use
Will County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503460-will-county-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Williamson County,has a pepperball launcher but no record of using it,1,1,1,https://www.documentcloud.org/documents/28503481-williamson-county-use-of-force-policy/#document/p1,Click here to read the policy governing its use
Winnebago County,has a pepperball launcher and has a record of using it,1,1,1,https://www.documentcloud.org/documents/28503512-winnebago-county-policies-on-use-of-force-and-weapons-authorization/#document/p1,Click here to read the policy governing its use
Woodford County,no record of owning a pepperball launcher,1,1,0,,
