date,card ,remove line
8/6/19,"In 2019, a mentally ill man was lying naked on the floor under his bunk when an officer fired through the food slot in his cell door to try to get him to comply with a medication injection, according to the incident report. “Don’t shoot again,” the man said. Officers then entered the cell and restrained him so a nurse could administer the shot. The sheriff’s office later reviewed the use of force and found the incident was justified, noting the man was a “mental health inmate” and had a “history of violence.”",
9/16/19,"A month later, an officer again fired pepperballs at the same man — whose “mental-health behavior” had been “declining” — to get him to comply with another injection, according to the incident report. The man used his mattress as a shield, and the officer fired a pepperball at the wall, then at the man’s thigh. Staff then handcuffed the man and administered the injection.",
2/21/20,Similar scenes played out in the following years.,1
7/10/20,"In 2020, an officer fired three rounds directly into a man’s abdomen and thighs to compel him to comply with being handcuffed, according to the incident report. O, even though officers acknowledged the man was unresponsive to orders “due to his mental-health issues.”",
12/7/21,"In 2021, a man lying under a blanket in the corner of his cell refused to come to the door for emergency medication, the incident report shows. An officer fired a round at a stool inside the cell, then fired more rounds at the floor and wall, then above the man’s head. He eventually came forward to be handcuffed and receive medication.",
12/15/22,"In 2022, an officer fired into the padded cell of a mental-health unit after a detained person refused to return a piece of jail property, according to the incident report. The man “quickly retreated to the back of the cell as I began to take aim through the food port,” the officer wrote. The man then “took his blanket and used it to shield himself.” The officer fired two more rounds into the cell.",
6/2/24,"In 2024, a detained person in the mental-health housing unit was refusing to return his breakfast tray and submit to handcuffs. An officer fired “2-3 rounds” through the food slot, hitting the man’s thigh, then “5-6 more rounds” into his thigh, according to the incident report. The man ran to the back of his cell to use his mattress as cover. An emergency response team armed with shields, gas masks and helmets entered the cell and restrained him.",
8/29/24,"That same year, a man awaiting transfer to IDHS was in a “manic state” and refused to uncover his cell’s surveillance camera, so an officer “aimed at the inmate for a direct impact volley,.” according to the incident report. The man attempted to block the round with a blanket, but it hit him in the thigh. Officers then pulled the blanket out of the cell to give the officer “a better line of sight” for more rounds. The officer fired three more rounds, “saturating” the cell with irritants. The man received medical attention afterward and showered. An officer wrote that interactions with the man “have been problematic with compliance having to be forced through the use of OC [Oleoresin Capsicum] spray due to his deteriorating mental state and unwillingness to cooperate with simple instructions.”",
4/10/25,"In 2025, a man awaiting transfer to IDHS refused to come forward for medication, so an officer fired three rounds through the cell door’s slot, hitting his legs, according to the incident report. As the man used a blanket to shield himself, the officer fired three more rounds above his head. When the man still did not come forward, the officer fired two rounds into the wall. The officer then fired two more rounds, one grazing his leg and another directly hitting his thigh. A nurse then administered a shot and attended to his injuries, which included bruising, welts and abrasions.",
5/15/26,"That same man was shot again in May, after he refused to return a dust pan that he had pulled into his cell. An officer filled the cell with pepper spray, then fired three pepperball rounds above the man’s head, according to the incident report. The man was “clearly affected by the saturation of OC and began washing out his eyes with water from his sink.” The officer fired three more rounds, hitting the man on his thigh and prompting him to appear at the cell door to be handcuffed.",
