NAME,Oversight model,Note
Alabama,No oversight model,
Alaska,No oversight model,
Arizona,No oversight model,
Arkansas,Independent Commission,
California,Independent Commission,
Colorado,No oversight model,
Connecticut,No oversight model,
Delaware,No oversight model,
District of Columbia,No oversight model,
Florida,Sheriffs' Association,
Georgia,No oversight model,
Hawaii,Other,
Idaho,Sheriffs' Association,
Illinois,Department of Corrections,
Indiana,Department of Corrections,
Iowa,Department of Corrections,
Kansas,No oversight model,
Kentucky,Department of Corrections,
Louisiana,Other,"Louisiana has some standards, although they apply inconsistently."
Maine,Department of Corrections,
Maryland,Independent Commission,
Massachusetts,Department of Corrections,
Michigan,Department of Corrections,
Minnesota,Department of Corrections,They also have a non-standards based Ombudsman review
Mississippi,No oversight model,
Missouri,No oversight model,
Montana,No oversight model,
Nebraska,Independent Commission,
Nevada,No oversight model,
New Hampshire,No oversight model,
New Jersey,Department of Corrections,
New Mexico,No oversight model,
New York,Independent Commission,
North Carolina,Department of Health,
North Dakota,Department of Corrections,
Ohio,Department of Corrections,
Oklahoma,Department of Health,
Oregon,Sheriffs' Association,
Pennsylvania,Department of Corrections,They also have a non-governmental oversight body that carries statutory authority to inspect jails. 
Rhode Island,No oversight model,
South Carolina,Department of Corrections,
South Dakota,No oversight model,
Tennessee,Independent Commission,
Texas,Independent Commission,
Utah,Sheriffs' Association,
Vermont,No oversight model,
Virginia,Department of Corrections,
Washington,No oversight model,
West Virginia,No oversight model,
Wisconsin,Department of Corrections,
Wyoming,No oversight model,
